iter	RMSE
0	5.637424246
1	5.405576228
2	5.253019409
3	5.139194201
4	4.982464645
5	4.799172068
6	4.708507021
7	4.58607707
8	4.476459931
9	4.35447151
10	4.254230323
11	4.123286968
12	4.020991053
13	3.951353643
14	3.833679627
15	3.784164372
16	3.670322857
17	3.60946867
18	3.517364244
19	3.427676906
20	3.34244633
21	3.264115757
22	3.206595475
23	3.121305362
24	3.055870322
25	2.992094569
26	2.928207248
27	2.875277286
28	2.809813432
29	2.748626986
30	2.696432626
31	2.640367172
32	2.601751717
33	2.522154585
34	2.477929345
35	2.411103399
36	2.371411446
37	2.315850811
38	2.271287858
39	2.226505015
40	2.175518212
41	2.143159625
42	2.106910497
43	2.07107889
44	2.028717978
45	1.979016026
46	1.937259751
47	1.909055202
48	1.87045932
49	1.830784758
50	1.79849943
51	1.771709538
52	1.73979832
53	1.707451923
54	1.686858641
55	1.664359893
56	1.641838368
57	1.617865578
58	1.597886503
59	1.574685781
60	1.560112121
61	1.541190038
62	1.516391402
63	1.499012813
64	1.482308371
65	1.453558401
66	1.437891784
67	1.422964432
68	1.406590367
69	1.392783353
70	1.379325165
71	1.366646331
72	1.354397921
73	1.342660776
74	1.331407664
75	1.320621636
76	1.309706919
77	1.285432911
78	1.275756061
79	1.266402626
80	1.257503038
81	1.24847078
82	1.240314569
83	1.207151241
84	1.199506988
85	1.178811863
86	1.161185995
87	1.153765879
88	1.130717343
89	1.123731086
90	1.117051157
91	1.084857254
92	1.063569204
93	1.04327721
94	1.037545647
95	1.018440468
96	1.01288241
97	0.994776341
98	0.9895443784
99	0.9724245212
