iter	Passed	Remaining
0	0	68
1	1	52
2	1	48
3	1	46
4	2	44
5	2	43
6	3	43
7	3	42
8	4	42
9	4	41
10	5	41
11	5	41
12	6	40
13	6	39
14	6	39
15	7	37
16	7	36
17	7	35
18	8	35
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	11	30
28	12	30
29	12	30
30	13	29
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	16	27
37	16	26
38	16	26
39	17	25
40	17	25
41	18	25
42	18	24
43	18	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	21
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	18
58	25	17
59	25	17
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	14
67	28	13
68	29	13
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	31	10
76	32	9
77	32	9
78	32	8
79	33	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	37	3
92	38	2
93	38	2
94	39	2
95	39	1
96	40	1
97	40	0
98	40	0
99	41	0
